# LLVM 20-dev (da439d3af47b)

# piglit failures
glx@glx_arb_sync_control@timing -divisor 1,Fail
glx@glx_arb_sync_control@timing -divisor 2,Fail
glx@glx-make-current,Fail
glx@glx-multi-window-single-context,Fail
glx@glx-swap-event_interval,Fail
glx@glx_arb_create_context_no_error@no error,Fail
glx@glx_ext_no_config_context@no fbconfig,Fail
glx@glx-visuals-depth -pixmap,Fail
glx@glx-visuals-stencil -pixmap,Fail
spec@!opengl 1.0@gl-1.0-user-clip-all-planes,Fail
spec@!opengl 1.1@line-smooth-stipple,Fail
spec@arb_pipeline_statistics_query@arb_pipeline_statistics_query-frag,Fail
spec@arb_program_interface_query@arb_program_interface_query-getprogramresourceindex,Fail
spec@arb_program_interface_query@arb_program_interface_query-getprogramresourceindex@'vs_input2[1][0]' on GL_PROGRAM_INPUT,Fail
spec@arb_shader_texture_lod@execution@arb_shader_texture_lod-texgradcube,Fail
spec@arb_shading_language_packing@execution@built-in-functions@fs-packhalf2x16,Fail
spec@arb_shading_language_packing@execution@built-in-functions@vs-packhalf2x16,Fail
spec@egl 1.4@egl-ext_egl_image_storage,Crash
spec@glsl-1.20@compiler@invalid-vec4-array-to-vec3-array-conversion.vert,Fail
spec@glsl-es-3.00@execution@built-in-functions@fs-packhalf2x16,Fail
spec@glsl-es-3.00@execution@built-in-functions@vs-packhalf2x16,Fail
spec@oes_shader_io_blocks@compiler@layout-location-aliasing.vert,Fail
spec@khr_texture_compression_astc@miptree-gles srgb-fp,Fail
spec@khr_texture_compression_astc@miptree-gles srgb-fp@sRGB decode full precision,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gles srgb-fp,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gles srgb-fp@sRGB decode full precision,Fail

# glcts failures
KHR-GL46.shaders.uniform_block.random.nested_structs_instance_arrays.0,Fail
## Fail because GFX10+ removed MS texture support (see si_get_sparse_texture_virtual_page_size)
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r11f_g11f_b10f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r16,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r16_snorm,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r16f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r16i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r16ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r32f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r32i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r32ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r8,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r8_snorm,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r8i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_r8ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rg16,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rg16_snorm,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rg16f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rg16i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rg16ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rg32f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rg32i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rg32ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rg8,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rg8_snorm,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rg8i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rg8ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgb10_a2,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgb10_a2ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgb565,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgba16,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgba16_snorm,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgba16f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgba16i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgba16ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgba32f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgba32i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgba8,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgba8_snorm,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgba8i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_array_rgba8ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r11f_g11f_b10f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r16,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r16_snorm,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r16f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r16i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r16ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r32f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r32i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r32ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r8,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r8_snorm,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r8i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_r8ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rg16,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rg16_snorm,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rg16f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rg16i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rg16ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rg32f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rg32i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rg32ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rg8,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rg8_snorm,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rg8i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rg8ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rgb10_a2,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rgb10_a2ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rgb565,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rgba16,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rgba16_snorm,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rgba16f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rgba16i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rgba16ui,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rgba32f,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rgba32i,Fail
KHR-GL46.sparse_texture2_tests.SparseTexture2Allocation_texture_2d_multisample_rgba8,Fail
